"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE977226150898";"WP Glane WEA 6";"In Betrieb";"25.5.2023";"5.6.2023";"Wind";"5560";"5560";"27793";"Wildeshausen";"VR Energiepark Glane GmbH & Co. KG";"ABR956871544771";"21.7.2023"
"SEE959867589053";"SkyWind 1";"In Betrieb";"3.6.2023";"4.6.2023";"Wind";"1";"1";"37249";"Neu-Eichenberg";"GbR Willig";"ABR948389290233";"4.6.2023"
"SEE947777536731";"Windrad";"In Planung";"";"3.6.2023";"Wind";"5";"5";"39539";"Havelberg";"(natürliche Person)";"ABR998649663369";"3.6.2023"
"SEE967064624743";"WEA GP 1";"In Betrieb";"2.6.2023";"2.6.2023";"Wind";"5700";"5700";"16928";"Groß Pankow";"UGE Guhlsdorf Eins GmbH & Co. KG Umweltgerechte Energie";"ABR939746950129";"2.6.2023"
"SEE989474918410";"WEA GP 2";"In Betrieb";"1.6.2023";"2.6.2023";"Wind";"5700";"5700";"16928";"Groß Pankow";"UGE Guhlsdorf Eins GmbH & Co. KG Umweltgerechte Energie";"ABR939746950129";"12.9.2023"
"SEE947802961491";"Vensys V82 Mermesloh";"In Planung";"";"2.6.2023";"Wind";"1850";"1850";"33165";"Lichtenau";"Asselner Windkraft GmbH&Co.KG";"ABR960114707670";"6.6.2024"
"SEE921562503412";"WEA 1380813";"In Betrieb";"26.5.2023";"1.6.2023";"Wind";"4025";"4025";"46487";"Wesel";"SL Windpark Wesel GmbH & CO. KG";"ABR902548859037";"23.6.2023"
"SEE957794098648";"WEA 2 - 246448";"In Betrieb";"31.5.2023";"1.6.2023";"Wind";"4200";"4200";"24808";"Jevenstedt";"Bürgerwindpark Jevenstedt GmbH & Co. KG";"ABR907305344757";"18.9.2023"
"SEE904625947149";"Windenergieanlage 2022";"In Betrieb";"24.11.2022";"1.6.2023";"Wind";"4,6";"4,6";"49453";"Rehden";"(natürliche Person)";"ABR952953204342";"1.6.2023"
"SEE994092345623";"WEA 1";"In Planung";"";"1.6.2023";"Wind";"5700";"5700";"59872";"Meschede";"Windpark Remblinghausen GmbH & Co. KG";"ABR957940970385";"1.6.2023"
"SEE945228398426";"WEA 02";"In Planung";"";"1.6.2023";"Wind";"5700";"5700";"59872";"Meschede";"Windpark Remblinghausen GmbH & Co. KG";"ABR957940970385";"1.6.2023"
"SEE975170447927";"WEA4 S/N:91095";"In Betrieb";"26.5.2023";"31.5.2023";"Wind";"3600";"3600";"25873";"Rantrum";"WKN Windkraft Nord GmbH & Co. Bürgerwindpark Rantrum KG";"ABR939369547454";"5.6.2023"
"SEE926215262302";"WEA 5 S/N:91096";"In Betrieb";"26.5.2023";"31.5.2023";"Wind";"3600";"3600";"25873";"Rantrum";"WKN Windkraft Nord GmbH & Co. Bürgerwindpark Rantrum KG";"ABR939369547454";"5.6.2023"
"SEE952267005468";"WEA GP 4";"In Betrieb";"26.5.2023";"31.5.2023";"Wind";"5700";"5700";"16928";"Groß Pankow";"UGE Guhlsdorf Eins GmbH & Co. KG Umweltgerechte Energie";"ABR939746950129";"31.5.2023"
"SEE906813396401";"WEA 3 S/N:91094";"In Betrieb";"26.5.2023";"31.5.2023";"Wind";"3600";"3600";"25873";"Rantrum";"WKN Windkraft Nord GmbH & Co. Bürgerwindpark Rantrum KG";"ABR939369547454";"5.6.2023"
"SEE908841270685";"FLE14";"In Planung";"";"31.5.2023";"Wind";"4260";"4260";"33178";"Borchen";"WestfalenWIND Etteln A33 GmbH & Co. KG";"ABR909100759125";"2.10.2024"
"SEE963526532212";"WEA Hägen- 244064";"In Betrieb";"25.5.2023";"30.5.2023";"Wind";"6000";"6000";"25779";"Süderheistedt";"Bürgerwindpark Hägen GmbH & Co. KG";"ABR951110920583";"3.8.2023"
"SEE968853608678";"WEA 3 B Brauerschwend";"In Betrieb";"26.5.2023";"30.5.2023";"Wind";"3450";"3450";"36318";"Schwalmtal";"Oberhessische Versorgungsbetriebe AG";"ABR901037990749";"24.8.2023"
"SEE924269978729";"Windanlage Sky Wind";"In Betrieb";"27.5.2023";"28.5.2023";"Wind";"1";"1";"76532";"Baden-Baden";"(natürliche Person)";"ABR976721932244";"17.11.2023"
"SEE985156321622";"WP Ehra-Lessien WEA 4";"In Betrieb";"26.5.2023";"26.5.2023";"Wind";"4200";"4200";"38468";"Ehra-Lessien";"Bürgerenergie Ehra-Lessien eG";"ABR957740271354";"6.2.2024"
"SEE904259960569";"WEA 6 Nordex N117 91104";"In Betrieb";"23.5.2023";"25.5.2023";"Wind";"3600";"3600";"25873";"Rantrum";"BWP Rantrum III GmbH & Co. KG";"ABR949473996352";"31.8.2023"
"SEE949491460880";"WP Tensbüttel WEA2";"In Betrieb";"24.5.2023";"25.5.2023";"Wind";"6000";"6000";"25767";"Tensbüttel-Röst";"Looft-Schmidt GmbH & Co. 3. Betriebs KG";"ABR962902648196";"12.2.2024"
"SEE980659621026";"WEA 02";"In Planung";"";"25.5.2023";"Wind";"5600";"5600";"19374";"Domsühl";"eno energy GmbH";"ABR918822616838";"4.10.2024"
"SEE910912683393";"WEA 03";"In Planung";"";"25.5.2023";"Wind";"5600";"5600";"19374";"Domsühl";"eno energy GmbH";"ABR918822616838";"4.10.2024"
"SEE922144084282";"WEA 04";"In Planung";"";"25.5.2023";"Wind";"5600";"5600";"19089";"Friedrichsruhe";"eno energy GmbH";"ABR918822616838";"4.10.2024"
"SEE966345135732";"WEA 05";"In Planung";"";"25.5.2023";"Wind";"5600";"5600";"19089";"Friedrichsruhe";"eno energy GmbH";"ABR918822616838";"4.10.2024"
"SEE908068676741";"WP Tensbüttel WEA1";"In Betrieb";"4.5.2023";"24.5.2023";"Wind";"6000";"6000";"25767";"Tensbüttel-Röst";"Looft-Schmidt GmbH & Co. 3. Betriebs KG";"ABR962902648196";"12.2.2024"
"SEE935265373920";"Hohenstadt GP-27 W2";"In Betrieb";"4.5.2023";"23.5.2023";"Wind";"4500";"4500";"73345";"Hohenstadt";"EnBW Windkraftprojekte GmbH";"ABR986645205263";"25.10.2023"
"SEE908780251943";"Hohenstadt GP-27 W4";"In Betrieb";"4.5.2023";"23.5.2023";"Wind";"3600";"3600";"73345";"Hohenstadt";"EnBW Windkraftprojekte GmbH";"ABR986645205263";"25.10.2023"
"SEE953111145361";"Hohenstadt GP-27 W8";"In Betrieb";"6.5.2023";"23.5.2023";"Wind";"4500";"4500";"73345";"Hohenstadt";"EnBW Windkraftprojekte GmbH";"ABR986645205263";"24.10.2023"
"SEE982275114135";"WEA 01";"In Betrieb";"12.5.2023";"23.5.2023";"Wind";"5500";"5500";"29559";"Wrestedt";"JWE Bürgerwindpark Könau-Ostedt-Suhlendorf";"ABR939661916309";"27.7.2023"
"SEE939845788166";"WEA 02";"In Betrieb";"9.5.2023";"23.5.2023";"Wind";"5500";"5500";"29559";"Wrestedt";"JWE Bürgerwindpark Könau-Ostedt-Suhlendorf";"ABR939661916309";"27.7.2023"
"SEE954930511283";"WEA 03";"In Betrieb";"19.5.2023";"23.5.2023";"Wind";"5500";"5500";"29562";"Suhlendorf";"JWE Bürgerwindpark Könau-Ostedt-Suhlendorf";"ABR939661916309";"27.7.2023"
"SEE950703201993";"WEA 06";"In Betrieb";"22.4.2023";"23.5.2023";"Wind";"5500";"5500";"29559";"Wrestedt";"JWE Bürgerwindpark Könau-Ostedt-Suhlendorf";"ABR939661916309";"27.7.2023"
"SEE909280815130";"WEA 07";"In Betrieb";"14.4.2023";"23.5.2023";"Wind";"5500";"5500";"29559";"Wrestedt";"JWE Bürgerwindpark Könau-Ostedt-Suhlendorf";"ABR939661916309";"26.7.2023"
"SEE919634644811";"G1";"In Betrieb";"1.5.2023";"23.5.2023";"Wind";"9525";"9525";"";"";"Parkwind Ost";"ABR985250964756";"25.5.2023"
"SEE972365776404";"G2";"In Betrieb";"1.5.2023";"23.5.2023";"Wind";"9525";"9525";"";"";"Parkwind Ost";"ABR985250964756";"25.5.2023"
"SEE964821609647";"WEA 01";"In Planung";"";"23.5.2023";"Wind";"5600";"5600";"19374";"Domsühl";"eno energy GmbH";"ABR918822616838";"4.10.2024"
"SEE962673070417";"WEA 1 - 1380838";"In Betrieb";"12.5.2023";"22.5.2023";"Wind";"4200";"4200";"24980";"Meyn";"Windpark Handewitt-West GmbH & Co. KG";"ABR919084652930";"22.2.2024"
"SEE930552048550";"WEA 2 - 1380832";"In Betrieb";"12.5.2023";"22.5.2023";"Wind";"4200";"4200";"24983";"Handewitt";"Windpark Handewitt-West GmbH & Co. KG";"ABR919084652930";"22.2.2024"
"SEE978548324790";"WEA 3 - 1380835";"In Betrieb";"16.5.2023";"22.5.2023";"Wind";"4200";"4200";"24983";"Handewitt";"Windpark Handewitt-West GmbH & Co. KG";"ABR919084652930";"22.2.2024"
"SEE974957901980";"WEA 4 - 1380833";"In Betrieb";"15.5.2023";"22.5.2023";"Wind";"4200";"4200";"24983";"Handewitt";"Windpark Handewitt-West GmbH & Co. KG";"ABR919084652930";"22.2.2024"
"SEE958854259795";"WEA 5 - 1380836";"In Betrieb";"22.5.2023";"22.5.2023";"Wind";"4200";"4200";"24983";"Handewitt";"Windpark Handewitt-West GmbH & Co. KG";"ABR919084652930";"22.2.2024"
"SEE923469763098";"WEA 6 - 1380837";"In Betrieb";"12.5.2023";"22.5.2023";"Wind";"4200";"4200";"24983";"Handewitt";"Windpark Handewitt-West GmbH & Co. KG";"ABR919084652930";"22.2.2024"
"SEE910509383231";"WEA 7 - 1380834";"In Betrieb";"12.5.2023";"22.5.2023";"Wind";"4200";"4200";"24983";"Handewitt";"Windpark Handewitt-West GmbH & Co. KG";"ABR919084652930";"22.2.2024"
"SEE912490109838";"WEA 5 - 246451";"In Betrieb";"16.5.2023";"22.5.2023";"Wind";"4200";"4200";"24808";"Jevenstedt";"Bürgerwindpark Jevenstedt GmbH & Co. KG";"ABR907305344757";"18.9.2023"
"SEE982664482180";"WEA 7 - 246453";"In Betrieb";"16.5.2023";"22.5.2023";"Wind";"4200";"4200";"24808";"Jevenstedt";"Bürgerwindpark Jevenstedt GmbH & Co. KG";"ABR907305344757";"18.9.2023"
"SEE987247943188";"Gartenmühle Swarten Pohl";"In Betrieb";"18.10.2022";"21.5.2023";"Wind";"5,5";"5,5";"24647";"Ehndorf";"(natürliche Person)";"ABR929230899232";"25.5.2023"
"SEE972607099162";"WEA 2";"In Betrieb";"9.5.2023";"18.5.2023";"Wind";"6000";"6000";"25792";"Neuenkirchen";"Tiebensee Energie I GmbH & Co. KG";"ABR985275990341";"18.5.2023"
"SEE965106646258";"WKA3";"In Betrieb";"20.4.2023";"17.5.2023";"Wind";"3600";"3600";"55566";"Bad Sobernheim";"Windpark Pferdsfeld GmbH & Co. KG";"ABR988911607313";"13.3.2024"
"SEE972508002407";"WKA9";"In Betrieb";"20.4.2023";"17.5.2023";"Wind";"3600";"3600";"55566";"Bad Sobernheim";"Windpark Pferdsfeld GmbH & Co. KG";"ABR988911607313";"6.2.2024"
"SEE910190247829";"WEA Heyses Hof";"In Betrieb";"17.5.2023";"17.5.2023";"Wind";"4200";"4200";"17291";"Prenzlau";"Ventus Bürgerstrom Heyses Hof Nr. 87 GmbH & Co. KG";"ABR977000327386";"15.5.2024"
"SEE903070078422";"WEA 4 / 55219171";"In Betrieb";"9.5.2023";"17.5.2023";"Wind";"5500";"5500";"23701";"Süsel";"Wind-Electric-Beteiligungsgesellschaft Kesdorf mit beschränkter Haftung & Co. Betriebs KG";"ABR910980365894";"13.12.2023"
"SEE933810435413";"Windpark Königshain-Wiederau WEA 2";"In Planung";"";"17.5.2023";"Wind";"5560";"5560";"09306";"Königshain-Wiederau";"Windpark Königshain-Wiederau Zwei GmbH & Co. KG";"ABR950102513819";"26.8.2024"
"SEE916675244079";"Kleinwindanlage";"Vorübergehend stillgelegt";"1.12.2022";"17.5.2023";"Wind";"2,2";"2,2";"17309";"Pasewalk";"(natürliche Person)";"ABR957295027161";"29.6.2023"
"SEE912848075747";"WEA 4 L Lauterbach";"In Betrieb";"15.5.2023";"16.5.2023";"Wind";"3450";"3450";"36341";"Lauterbach";"Oberhessische Versorgungsbetriebe AG";"ABR901037990749";"28.7.2023"
"SEE974313203253";"WEA LOEB 1";"In Planung";"";"16.5.2023";"Wind";"6600";"6600";"06780";"Zörbig";"VSB Windpark Löberitz GmbH & Co. KG";"ABR965577456684";"16.5.2023"
"SEE986910707683";"WEA LOEB 2";"In Planung";"";"16.5.2023";"Wind";"6600";"6600";"06780";"Zörbig";"VSB Windpark Löberitz GmbH & Co. KG";"ABR965577456684";"16.5.2023"
"SEE958959479630";"G54";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE991806941607";"G55";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE958595221372";"G56";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE928492669881";"H54";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE936669765588";"H57";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE968822478189";"H59";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE945808835648";"I51";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE921396903839";"I53";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE946201988634";"I55";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE974184449873";"I56";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE971117166760";"I58";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE989728865606";"I59";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE984446460737";"J51";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE903212979990";"J54";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE987418681659";"J56";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE926604108662";"J59";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE947868991043";"K51";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE918589046091";"K52";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE926623203843";"K53";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE947298009660";"K55";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE934135287411";"K57";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE931502812191";"K59";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE919920648264";"L51";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE969063843323";"WEA Neukünkendorf 02";"In Planung";"";"16.5.2023";"Wind";"5700";"5700";"16278";"Angermünde";"UKA Umweltgerechte Kraftanlagen GmbH & Co. KG";"ABR999408386086";"19.9.2024"
"SEE990097077873";"L52";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE995790718726";"L54";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE943086118286";"L56";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE971515638500";"WEA-1";"In Planung";"";"16.5.2023";"Wind";"6000";"6000";"74747";"Ravenstein";"ZEAG Energie AG";"ABR999430332785";"16.5.2023"
"SEE906281816043";"WEA-2";"In Planung";"";"16.5.2023";"Wind";"6000";"6000";"74747";"Ravenstein";"ZEAG Energie AG";"ABR999430332785";"16.5.2023"
"SEE946752102022";"L58";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE908633573628";"WEA-3";"In Planung";"";"16.5.2023";"Wind";"6000";"6000";"74747";"Ravenstein";"ZEAG Energie AG";"ABR999430332785";"16.5.2023"
"SEE966550121599";"WEA-4";"In Planung";"";"16.5.2023";"Wind";"6000";"6000";"74747";"Ravenstein";"ZEAG Energie AG";"ABR999430332785";"16.5.2023"
"SEE933776083611";"M51";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE903433475202";"M55";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE964450682356";"M56";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE984150549834";"M59";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE912441346732";"N51";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE933570278664";"N53";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE954527536378";"N54";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE936479813509";"N58";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE996160725511";"N59";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE924787035768";"O51";"In Planung";"";"16.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE924593794552";"WEA-1";"In Planung";"";"16.5.2023";"Wind";"6000";"6000";"74736";"Hardheim";"EE BürgerEnergie Hardheim GmbH & Co. KG";"ABR994001916906";"16.5.2023"
"SEE922406872350";"WEA-2";"In Planung";"";"16.5.2023";"Wind";"6000";"6000";"74736";"Hardheim";"EE BürgerEnergie Hardheim GmbH & Co. KG";"ABR994001916906";"16.5.2023"
"SEE986653722325";"WEA-3";"In Planung";"";"16.5.2023";"Wind";"6000";"6000";"74736";"Hardheim";"EE BürgerEnergie Hardheim GmbH & Co. KG";"ABR994001916906";"16.5.2023"
"SEE941326615373";"WEA-4";"In Planung";"";"16.5.2023";"Wind";"6000";"6000";"74736";"Hardheim";"EE BürgerEnergie Hardheim GmbH & Co. KG";"ABR994001916906";"16.5.2023"
"SEE979157788850";"WEA-5";"In Planung";"";"16.5.2023";"Wind";"6000";"6000";"74736";"Hardheim";"EE BürgerEnergie Hardheim GmbH & Co. KG";"ABR994001916906";"16.5.2023"
"SEE998729472560";"WEA-6";"In Planung";"";"16.5.2023";"Wind";"6000";"6000";"74736";"Hardheim";"EE BürgerEnergie Hardheim GmbH & Co. KG";"ABR994001916906";"16.5.2023"
"SEE986649929820";"WEA-7";"In Planung";"";"16.5.2023";"Wind";"6000";"6000";"74736";"Hardheim";"EE BürgerEnergie Hardheim GmbH & Co. KG";"ABR994001916906";"16.5.2023"
"SEE968627707842";"WEA-8";"In Planung";"";"16.5.2023";"Wind";"6000";"6000";"74736";"Hardheim";"EE BürgerEnergie Hardheim GmbH & Co. KG";"ABR994001916906";"16.5.2023"
"SEE957500863713";"WEA-9";"In Planung";"";"16.5.2023";"Wind";"6000";"6000";"74736";"Hardheim";"EE BürgerEnergie Hardheim GmbH & Co. KG";"ABR994001916906";"16.5.2023"
"SEE903710874483";"WEA-10";"In Planung";"";"16.5.2023";"Wind";"6000";"6000";"74736";"Hardheim";"EE BürgerEnergie Hardheim GmbH & Co. KG";"ABR994001916906";"16.5.2023"
"SEE929438908842";"WEA 3 - 246449";"In Betrieb";"12.5.2023";"15.5.2023";"Wind";"4200";"4200";"24808";"Jevenstedt";"Bürgerwindpark Jevenstedt GmbH & Co. KG";"ABR907305344757";"18.9.2023"
"SEE980546804242";"WEA 4 - 246450";"In Betrieb";"12.5.2023";"15.5.2023";"Wind";"4200";"4200";"24808";"Jevenstedt";"Bürgerwindpark Jevenstedt GmbH & Co. KG";"ABR907305344757";"18.9.2023"
"SEE911685433819";"WEA 6 - 246452";"In Betrieb";"12.5.2023";"15.5.2023";"Wind";"4200";"4200";"24808";"Jevenstedt";"Bürgerwindpark Jevenstedt GmbH & Co. KG";"ABR907305344757";"15.5.2023"
"SEE957558841176";"WEA 8 - 246454";"In Betrieb";"12.5.2023";"15.5.2023";"Wind";"4200";"4200";"24808";"Jevenstedt";"Bürgerwindpark Jevenstedt GmbH & Co. KG";"ABR907305344757";"18.9.2023"
"SEE938101776275";"WEA 9 - 246455";"In Betrieb";"12.5.2023";"15.5.2023";"Wind";"4200";"4200";"24808";"Jevenstedt";"Bürgerwindpark Jevenstedt GmbH & Co. KG";"ABR907305344757";"18.9.2023"
"SEE958075619149";"WP Schadehorn, WKA 03";"In Betrieb";"12.5.2023";"15.5.2023";"Wind";"4200";"4200";"23843";"Bad Oldesloe";"Stadtwerke Bad Oldesloe";"ABR925422847463";"15.5.2023"
"SEE930925861397";"C57";"In Planung";"";"15.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE937637359662";"D52";"In Planung";"";"15.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE946479611050";"D53";"In Planung";"";"15.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE929187182098";"D55";"In Planung";"";"15.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE946094268790";"D56";"In Planung";"";"15.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE939620850996";"D59";"In Planung";"";"15.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE960091807516";"E52";"In Planung";"";"15.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE980578555990";"E53";"In Planung";"";"15.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE934958770077";"E56";"In Planung";"";"15.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE909895232391";"E57";"In Planung";"";"15.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE984913841489";"E59";"In Planung";"";"15.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE986727779170";"F55";"In Planung";"";"15.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE975283682673";"F57";"In Planung";"";"15.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE973220806380";"F59";"In Planung";"";"15.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE916853974583";"G52";"In Planung";"";"15.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE954549397025";"O52";"In Planung";"";"15.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE991057929393";"R56";"In Planung";"";"15.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE951203718349";"R55";"In Planung";"";"15.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE979936416097";"R57";"In Planung";"";"15.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE926522113632";"R58";"In Planung";"";"15.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE997965906822";"R59";"In Planung";"";"15.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
"SEE965310843061";"O55";"In Planung";"";"15.5.2023";"Wind";"11550";"11550";"";"";"Borkum Riffgrund 3 GmbH & Co. oHG";"ABR935085897668";"15.1.2024"
